doc_title,raw_negative,raw_positive,raw_net_sentiment,tfidf_negative,tfidf_positive,net_tfidf_sentiment
Text A,256,365,109,0.007217334873123154,0.005000245075497087,-0.002217089797626067
Text B,281,344,63,0.01602101804142802,0.011344612775281463,-0.004676405266146556
